Date,Description,Type,Cost,Timestamp,Email Address,,,https://docs.google.com/forms/d/e/1FAIpQLSe1VI2A82N_6THPd41tj_MbV_s7V4pHgDXPcsGrTBWMUSl3zg/viewform
4/21/2024,7 elevent drinks,food,3.85,4/21/2024 17:07:01,,,,
4/22/2024,chips,food,3.2,4/22/2024 18:08:24,,,,
4/22/2024,campus food,food,6,4/22/2024 18:08:39,,,,
4/23/2024,campus food,food,9.02,4/23/2024 11:55:54,,,,
4/26/2024,rent,home,651.91,4/26/2024 14:00:12,,,,
4/23/2024,campus food,food,9.02,4/28/2024 19:56:28,,,,
4/30/2024,KFC,food,13.03,4/28/2024 19:56:56,,,,
4/23/2024,chocolate,food,2.26,4/28/2024 19:57:24,,,,
4/23/2024,instacart beef,food,56.66,4/28/2024 19:58:34,,,,
4/25/2024,badminton rent,beauty,1,4/28/2024 19:59:02,,,,
4/27/2024,chocolate,food,2.26,4/28/2024 19:59:28,,,,
4/27/2024,badminton rent,beauty,1,4/28/2024 19:59:48,,,,
4/28/2024,chocolate,food,2.26,4/28/2024 20:00:07,,,,
4/24/2024,walmart grocery,food,37.36,4/28/2024 20:03:06,,,,
4/26/2024,walmart grocery,food,32.13,4/28/2024 20:06:02,,,,
4/28/2024,badminton fix,beauty,28,4/28/2024 20:06:52,,,,
4/30/2024,campus food,food,10.89,4/30/2024 12:51:46,,,,
5/4/2024,mumtahin chicken share,food,-6.86,5/4/2024 10:55:43,,,,
4/29/2024,campus chocolate,food,1.86,5/4/2024 12:09:04,,,,
5/1/2024,walmart grocery,food,44.18,5/4/2024 12:14:09,,,,
5/4/2024,mumtahin banana share,food,-0.89,5/4/2024 12:42:53,,,,
5/3/2024,taaha mint mobile,wife,53.64,5/4/2024 12:45:26,,,,
5/7/2024,day pass,family,5,5/7/2024 18:20:29,,,,
5/8/2024,bed mattress cover,home,78,5/8/2024 12:04:58,,,,
5/4/2024,pendrive,tech,18.88,5/13/2024 11:45:37,,,,
5/4/2024,pizza for arafat vai,friend,9.26,5/13/2024 11:49:15,,,,
5/4/2024,walmart grocery,food,28.92,5/13/2024 11:49:54,,,,
5/5/2024,google fi,tech,24.47,5/13/2024 11:52:17,,,,
5/7/2024,sayeed chocolate,family,5.15,5/13/2024 11:58:30,,,,
5/8/2024,sayeed transit app,family,5,5/13/2024 11:59:01,,,,
5/8/2024,walmart,home,51.03,5/13/2024 12:10:06,,,,
5/8/2024,sayeed walmart grocery,family,20,5/13/2024 12:14:51,,,,
5/8/2024,curry connect sayeed,family,20,5/13/2024 12:15:17,,,,
5/8/2024,curry connect,food,20,5/13/2024 12:15:37,,,,
5/8/2024,gas bill for reaz vai,family,32,5/13/2024 12:16:12,,,,
5/9/2024,panda express,food,10,5/13/2024 12:17:27,,,,
5/9/2024,panda express sayeed,family,10.12,5/13/2024 12:17:45,,,,
5/9/2024,utah red butte garden sayeed,family,16,5/13/2024 12:18:24,,,,
5/9/2024,maverik water sayeed,family,4.11,5/13/2024 12:18:48,,,,
5/10/2024,natural history museum sayeed,family,22.95,5/13/2024 12:19:55,,,,
5/10/2024,natural history museum sayeed souvenier,family,8.57,5/13/2024 12:20:39,,,,
5/10/2024,panda express sayeed,family,10,5/13/2024 12:21:13,,,,
5/10/2024,panda express,food,9.68,5/13/2024 12:21:32,,,,
5/10/2024,gas sayeed,family,29.89,5/13/2024 12:22:34,,,,
5/11/2024,transit app sayeed,family,5,5/13/2024 12:23:04,,,,
5/12/2024,walmart grocery,food,23.38,5/13/2024 12:32:31,,,,
5/13/2024,campus food,food,9.02,5/13/2024 21:36:02,,,,
5/13/2024,taaha roaming,wife,12.88,5/13/2024 21:36:29,,,,
5/13/2024,tide detergent,home,21.49,5/13/2024 22:17:58,,,,
5/14/2024,taaha gp roaming,wife,7.87,5/14/2024 1:21:03,,,,
